uniprot_id gene_name protein_desc logFC AveExpr t P.Value adj.P.Val B
P20742 PZP  Pregnancy zone protein  -4.29820005528045 3.58030134307818 -6.85590314268039 2.07037581180201e-05 0.0216975385076851 3.0938676998523
P15514 AREG  Amphiregulin  -1.15343750574765 5.40312278724126 -5.67217435788575 7.65458395168507e-05 0.0252015775070498 1.8616111000883
P04114 APOB  Apolipoprotein B-100  -1.38427912748405 4.96636379819997 -5.58508291864052 8.8606490762199e-05 0.0252015775070498 1.72577439923191
Q9BY76 ANGPTL4  Angiopoietin-related protein 4  -0.791090932130504 5.19331413031827 -5.50544113295824 0.000101385521740679 0.0252015775070498 1.60048937339301
P07996 THBS1  Thrombospondin-1  -0.894070402202216 4.15584556082371 -5.40537197079327 0.00012023653390768 0.0252015775070498 1.44163418409243
Q15154 PCM1  Pericentriolar material 1 protein  0.710082284582327 4.89401693408088 5.02133486463209 0.000234318889348286 0.0409276993395007 0.817463108032242
