Tag	Sample_name
126	Unstarved_1
127N	Unstarved_2
127C	Unstarved_3
128N	Unstarved_4
128C	Unstarved_5
129N	4h-Starved_1
129C	4h-Starved_2
130N	4h-Starved_3
130C	4h-Starved_4
131	4h-Starved_5
