Tag	Sample_name
126	4hr-Starved_1
127N	4hr-Starved_2
127C	4hr-Starved_3
128N	4hr-Starved_4
128C	4hr-Starved_5
129N	30min-Insulin_1
129C	30min-Insulin_2
130N	30min-Insulin_3
130C	30min-Insulin_4
131	30min-Insulin_5
